id,DipDirecti,Zone,X,Y
"41",East,NorthEast,322416.679,"4382863"
"42",East,NorthEast,325193.286,"4390000"
"42",East,NorthEast,324186.999,"4388230"
"42",East,NorthEast,323683.856,"4387037"
"42",East,NorthEast,323255.252,"4385957"
"42",East,NorthEast,323143.442,"4385714"
"43",West,NorthEast,326180.938,"4389851"
"43",West,NorthEast,324969.667,"4387485"
"43",West,NorthEast,324131.094,"4386273"
"43",West,NorthEast,323683.856,"4385025"
"43",West,NorthEast,323385.696,"4384186"
"43",West,NorthEast,322863.918,"4383422"
"43",West,NorthEast,322677.569,"4383106"
"51",West,NorthWest,315428.575,"4381764"
"51",West,NorthWest,319323.278,"4386031"
"51",West,NorthWest,321019.058,"4388491"
"51",West,NorthWest,322547.124,"4392069"
"50",East,SouthMid,324541.063,"4378764"
"50",East,SouthMid,322323.505,"4380366"
"50",East,SouthMid,320105.946,"4381671"
"49",West,MidMid,322360.774,"4380478"
"49",West,MidMid,323143.442,"4382901"
"49",West,MidMid,323162.077,"4383627"
"49",West,MidMid,323367.062,"4384205"
"49",West,MidMid,323888.840,"4384689"
"49",West,MidMid,324447.888,"4385509"
"49",West,MidMid,324186.999,"4386423"
"49",West,MidMid,324373.349,"4388808"
"48",East,MidEast,325770.970,"4381149"
"48",East,MidEast,325770.970,"4385304"
"48",East,MidEast,326199.573,"4386441"
"48",East,MidEast,327559.924,"4387112"
"48",East,MidEast,328361.227,"4387541"
"47",East,MidEast,325864.144,"4386367"
"47",East,MidEast,324578.333,"4383199"
"47",East,MidEast,323553.411,"4381354"
"47",East,MidEast,323292.522,"4379341"
"47",East,MidEast,323012.998,"4376826"
"46",West,NorthMid,324746.047,"4391696"
"46",West,NorthMid,324112.459,"4389702"
"46",West,NorthMid,323739.760,"4388454"
"46",West,NorthMid,323311.157,"4387913"
"46",West,NorthMid,322733.473,"4387168"
"46",West,NorthMid,322174.425,"4386721"
"46",West,NorthMid,321615.377,"4385584"
"46",West,NorthMid,320944.519,"4384056"
"46",West,NorthMid,320851.344,"4383795"
"45",West,NorthMid,322267.600,"4384391"
"45",West,NorthMid,322565.759,"4385081"
"45",West,NorthMid,322677.569,"4385677"
"45",West,NorthMid,322658.934,"4386180"
"45",West,NorthMid,323217.982,"4386926"
"45",West,NorthMid,323963.380,"4387447"
"45",West,NorthMid,324336.079,"4387913"
"45",West,NorthMid,324447.888,"4388994"
"44",West,SouthWest,319919.597,"4380608"
"44",West,SouthWest,319975.501,"4384037"
"54",West,MidWest,319453.723,"4383385"
"54",West,MidWest,321000.423,"4386106"
"53",East,NorthMid,320515.915,"4387280"
"53",East,NorthMid,322230.330,"4389851"
"52",West,MidMid,320981.788,"4381820"
"52",West,MidMid,321857.631,"4383665"
"52",West,MidMid,322137.155,"4384559"
"52",West,MidMid,322174.425,"4384671"
"55",East,SouthEast,320497.280,"4381559"
"55",East,SouthEast,325491.445,"4379136"
"55",East,SouthEast,327336.305,"4378279"
"55",East,SouthEast,327504.019,"4378279"
"56",West,SouthEast,328622.116,"4380459"
"56",West,SouthEast,324876.492,"4381671"
"56",West,SouthEast,322994.363,"4382565"
"56",West,SouthEast,321988.076,"4383068"
"56",West,SouthEast,321242.678,"4383515"
"56",West,SouthEast,320441.375,"4383851"
"56",West,SouthEast,320180.486,"4384019"
