VALUE,X,Y
466.003479,324216.991,4385475.68
565.53430176,324489.031,4385475.68
523.2913208,324761.071,4385475.68
507.62438965,325033.111,4385475.68
-51.64526367,317688.031,4385203.64
-31.16708374,317960.071,4385203.64
11.99398804,318232.111,4385203.64
108.17645264,318504.151,4385203.64
284.90948486,318776.191,4385203.64
443.07894897,319048.231,4385203.64
493.78857422,319320.271,4385203.64
548.84667969,319592.311,4385203.64
262.60986328,319864.351,4385203.64
24.7816925,320136.391,4385203.64
175.24777222,320408.431,4385203.64
322.87283325,320680.471,4385203.64
244.49189758,320952.511,4385203.64
132.37393188,321224.551,4385203.64
-73.02661133,321496.591,4385203.64
-87.61407471,321768.631,4385203.64
-137.18444824,322040.671,4385203.64
-165.73587036,322312.711,4385203.64
-200.42022705,322584.751,4385203.64
-640.91760254,322856.791,4385203.64
-410.54229736,323128.831,4385203.64
36.81257629,323400.871,4385203.64
490.53231812,323672.911,4385203.64
451.06472778,323944.951,4385203.64
468.87405396,324216.991,4385203.64
466.18154907,324489.031,4385203.64
373.48492432,324761.071,4385203.64
365.29071045,325033.111,4385203.64
-21.17434692,317688.031,4384931.6
11.29049683,317960.071,4384931.6
42.50999451,318232.111,4384931.6
88.92755127,318504.151,4384931.6
229.45710754,318776.191,4384931.6
334.19873047,319048.231,4384931.6
423.62371826,319320.271,4384931.6
467.49639893,319592.311,4384931.6
185.12121582,319864.351,4384931.6
178.1660614,320136.391,4384931.6
403.09753418,320408.431,4384931.6
435.82000732,320680.471,4384931.6
349.94995117,320952.511,4384931.6
130.6105957,321224.551,4384931.6
-252.16796875,321496.591,4384931.6
-388.05114746,321768.631,4384931.6
-323.79992676,322040.671,4384931.6
-267.93273926,322312.711,4384931.6
-398.88146973,322584.751,4384931.6
-777.45385742,322856.791,4384931.6
-445.11523438,323128.831,4384931.6
51.71842957,323400.871,4384931.6
448.59378052,323672.911,4384931.6
359.03363037,323944.951,4384931.6
427.34051514,324216.991,4384931.6
307.33486938,324489.031,4384931.6
232.02536011,324761.071,4384931.6
259.04302979,325033.111,4384931.6
17.03457642,317688.031,4384659.56
37.99409485,317960.071,4384659.56
115.26086426,318232.111,4384659.56
132.58111572,318504.151,4384659.56
196.66215515,318776.191,4384659.56
249.98724365,319048.231,4384659.56
420.02502441,319320.271,4384659.56
402.27868652,319592.311,4384659.56
187.44340515,319864.351,4384659.56
336.48022461,320136.391,4384659.56
472.91027832,320408.431,4384659.56
433.07458496,320680.471,4384659.56
441.73382568,320952.511,4384659.56
141.29959106,321224.551,4384659.56
-324.98205566,321496.591,4384659.56
-349.20544434,321768.631,4384659.56
-295.08300781,322040.671,4384659.56
-291.02050781,322312.711,4384659.56
-569.72705078,322584.751,4384659.56
-823.47973633,322856.791,4384659.56
-470.1550293,323128.831,4384659.56
69.83917236,323400.871,4384659.56
436.01013184,323672.911,4384659.56
420.37908936,323944.951,4384659.56
395.87310791,324216.991,4384659.56
215.68516541,324489.031,4384659.56
182.23944092,324761.071,4384659.56
195.90719604,325033.111,4384659.56
64.48165894,317688.031,4384387.52
90.07339478,317960.071,4384387.52
143.49636841,318232.111,4384387.52
148.01603699,318504.151,4384387.52
217.9286499,318776.191,4384387.52
217.82150269,319048.231,4384387.52
289.7822876,319320.271,4384387.52
290.16546631,319592.311,4384387.52
303.86251831,319864.351,4384387.52
427.58166504,320136.391,4384387.52
592.19494629,320408.431,4384387.52
672.52636719,320680.471,4384387.52
490.24401855,320952.511,4384387.52
-28.3125,321224.551,4384387.52
-261.97729492,321496.591,4384387.52
-176.68856812,321768.631,4384387.52
-168.37353516,322040.671,4384387.52
-225.53109741,322312.711,4384387.52
-474.6963501,322584.751,4384387.52
-481.77789307,322856.791,4384387.52
-272.76568604,323128.831,4384387.52
168.37948608,323400.871,4384387.52
419.95605469,323672.911,4384387.52
468.01940918,323944.951,4384387.52
468.5798645,324216.991,4384387.52
333.75354004,324489.031,4384387.52
226.99839783,324761.071,4384387.52
162.63508606,325033.111,4384387.52
97.28236389,317688.031,4384115.48
123.63800049,317960.071,4384115.48
119.93151855,318232.111,4384115.48
103.02133179,318504.151,4384115.48
191.09568787,318776.191,4384115.48
183.92750549,319048.231,4384115.48
140.83772278,319320.271,4384115.48
245.33288574,319592.311,4384115.48
402.45211792,319864.351,4384115.48
627.69909668,320136.391,4384115.48
719.25830078,320408.431,4384115.48
743.05895996,320680.471,4384115.48
500.72601318,320952.511,4384115.48
10.90814209,321224.551,4384115.48
-53.15322876,321496.591,4384115.48
-79.88186646,321768.631,4384115.48
-58.89224243,322040.671,4384115.48
22.22515869,322312.711,4384115.48
-11.26733398,322584.751,4384115.48
21.64880371,322856.791,4384115.48
88.68429565,323128.831,4384115.48
247.57635498,323400.871,4384115.48
317.83792114,323672.911,4384115.48
423.19778442,323944.951,4384115.48
435.03997803,324216.991,4384115.48
348.4850769,324489.031,4384115.48
249.7664032,324761.071,4384115.48
148.85307312,325033.111,4384115.48
100.50717163,317688.031,4383843.44
92.81008911,317960.071,4383843.44
79.71156311,318232.111,4383843.44
71.81518555,318504.151,4383843.44
160.99223328,318776.191,4383843.44
146.62033081,319048.231,4383843.44
158.10020447,319320.271,4383843.44
316.38781738,319592.311,4383843.44
519.35955811,319864.351,4383843.44
732.96777344,320136.391,4383843.44
713.01696777,320408.431,4383843.44
631.94342041,320680.471,4383843.44
409.53033447,320952.511,4383843.44
117.51853943,321224.551,4383843.44
145.12957764,321496.591,4383843.44
135.11820984,321768.631,4383843.44
77.67842102,322040.671,4383843.44
138.53164673,322312.711,4383843.44
266.77862549,322584.751,4383843.44
386.09506226,322856.791,4383843.44
456.28201294,323128.831,4383843.44
338.55267334,323400.871,4383843.44
384.39822388,323672.911,4383843.44
451.44177246,323944.951,4383843.44
362.80993652,324216.991,4383843.44
317.08547974,324489.031,4383843.44
225.72254944,324761.071,4383843.44
135.74746704,325033.111,4383843.44
94.47846985,317688.031,4383571.4
85.48457336,317960.071,4383571.4
75.49328613,318232.111,4383571.4
78.61669922,318504.151,4383571.4
164.52728271,318776.191,4383571.4
180.753479,319048.231,4383571.4
234.87521362,319320.271,4383571.4
429.12741089,319592.311,4383571.4
500.05856323,319864.351,4383571.4
608.70605469,320136.391,4383571.4
444.95840454,320408.431,4383571.4
340.90124512,320680.471,4383571.4
226.22198486,320952.511,4383571.4
247.21940613,321224.551,4383571.4
